id,stem,a,b,c,d,correct_answer,incorrect_rate,signal_reasoning,signal_extra_triple,signal_distractor_depth,signal_node_embedding_similarity,signal_text_embedding_similarity,signal_degree_centrality,signal_readability,signal_above_largest_gap_count,signal_llm_extra_fact
1,"Born in the German Empire, which theoretical physicist revolutionized our understanding of space, time, and energy with his theory of relativity?",Albert Einstein,Elon Reeve Musk,Lionel Andrés Messi,Eva Braun,A,0.13157894736842102,0.0,1.0,0.41666666666666663,0.5483333333333333,0.32212615962481167,0.6603789229302267,0.22962235514686186,0.0,0
2,"Renowned for developing the Theory of Relativity, which influential physicist’s work has been particularly beneficial to the field of Quantum Optics?",Dennis Wilson,Stephen William Hawking,Albert Einstein,Karim Benzema,C,0.1842105263157895,0.0,0.0,0.25,0.5033333333333333,0.26001005075453687,0.7672966694151553,0.22962235514686186,0.0,1
3,"A renowned physicist, who played a significant role in advising on a project that ultimately impacted a country involved in a major 20th-century global conflict, is most famously known by what name?",Thomas Jefferson,Nicki Minaj,Albert Einstein,Hillary Clinton,C,0.09090909090909094,1.0,1.0,0.25,0.5299999999999999,0.21695987949059267,0.528304059625315,0.35657530577626995,0.0,1
4,"What influential physicist, known for proposing the General Theory of Relativity, was an outspoken critic of a political leader who participated in World War I?",Albert Einstein,Chuck Norris,Prince Philip,Richard Nixon,A,0.12121212121212122,1.0,0.0,0.33333333333333337,0.5266666666666667,0.27734235396919804,0.5896245318740239,0.2689045620926703,0.0,1
5,Who is the acclaimed actor and director known for receiving a coveted Golden Globe Award for her performances?,Neil Patrick Harris,Rob Greenberg,Angelina Jolie,Donald Trump,C,0.2432432432432432,0.0,1.0,0.0,0.545,0.5295859048492756,0.6132093288927583,0.558967949290242,0.0,0
6,"Who directed the film ""In the Land of Blood and Honey"" and also acted in the movie ""Changeling""?",Angelina Jolie,Anthony Russo,Rob Greenberg,Gale Anne Hurd,A,0.5,0.0,0.0,0.0,0.5116666666666666,0.5073107456736055,0.779875227825147,0.8610838318007321,0.5,1
7,"Which individual, known for their remarkable achievements in the entertainment industry, has received recognition through notable awards that have also been associated with music moguls like Jay-Z?",Angelina Jolie,Doja Cat,Elvis Aaron Presley,Cruz Bustamante,A,0.975,1.0,1.0,0.08333333333333337,0.48,0.7486758013982882,0.647800364520235,0.2507811802517632,1.0,0
8,Which humanitarian award recipient has also been recognized alongside John Christopher Depp II by the same prestigious film organization?,Bill Black,Angelina Jolie,Sharon Tate,Brad Pitt,B,0.5277777777777778,1.0,0.0,0.33333333333333337,0.6833333333333332,0.6191628324250192,0.6132093288927583,0.1722167663601464,0.5,0
9,"Who is the artist behind the popular album ""Thank U, Next""?",Ariana Grande Butera,Royce Da 5’9,Kanye Omari West,Brian Epstein,A,0.19047619047619047,0.0,1.0,0.16666666666666663,0.4633333333333333,0.44853480011832736,0.556605816047796,0.7734130881171323,0.0,0
10,"Which singer, known for their use of the whistle register, has the full name that includes Butera?",Jon Voight,Thomas Cruise Mapother IV,Selena Marie Gomez,Ariana Grande Butera,D,0.2142857142857143,0.0,0.0,0.33333333333333337,0.49833333333333335,0.36338962014701975,0.6918253189552057,0.7945719132220337,0.0,1
21,"Married in a civil ceremony at Windsor Guildhall in 2005, who is the spouse of Camilla Parker Bowles?",Selena Marie Gomez,Mary Lincoln,Eva Braun,Charles III,D,0.42500000000000004,0.0,1.0,0.08333333333333337,0.505,0.5807543886193138,0.7358502733901764,0.6344969199178644,1.0,0
11,"Which artist released an album that includes a hit single sharing the same name, becoming a cultural phenomenon and often associated with moving on from past relationships?",Muhammad Ali,Ariana Grande Butera,Tony Bennett,Brad Pitt,B,0.19999999999999996,1.0,1.0,0.33333333333333337,0.5133333333333333,0.823935783507399,0.6918253189552057,0.4018391215070083,1.0,0
12,"Which singer, known for her role in the TV series ""Sam & Cat,"" was part of the cast nominated for the Academy Award for Best Supporting Actress?",Michael Shea,Ariana Grande Butera,Notorious B.I.G.,Tupac Amaru Shakur,B,0.21052631578947367,1.0,0.0,0.25,0.5099999999999999,0.32618268883598656,0.7735859486201512,0.6375323631818587,0.0,0
13,"In the action-packed 1985 film ""Commando,"" which actor took on the iconic role of John Matrix?",Cruz Bustamante,Michael Shea,Neil Patrick Harris,Arnold Alois Schwarzenegger,D,0.40476190476190477,0.0,1.0,0.6666666666666667,0.6849999999999999,0.38982972582428,0.6886806793527078,0.728149272386394,0.0,0
14,"Known as ""The Austrian Oak,"" who served as the 38th Governor of California?",William McKinley,Louis XIV,Arnold Alois Schwarzenegger,Gray Davis,C,0.45999999999999996,0.0,0.0,0.33333333333333337,0.6833333333333335,0.40607239925407995,0.7861645070301427,0.7552897062762253,0.0,1
15,"This former professional bodybuilder and actor, who served as the Governor of California, is a prominent member of a US political party closely associated with the United States of America. Who is he?",Dr. Dre,Onika Tanya Maraj-Petty,Andrew,Arnold Alois Schwarzenegger,D,0.26190476190476186,1.0,1.0,0.16666666666666663,0.4916666666666667,0.2969096973456224,0.647800364520235,0.49700919560753504,0.0,0
16,"Which bodybuilder, also known for winning the Mr. Universe title, shares a prestigious bodybuilding title with Lee Haney?",Dwayne Douglas Johnson,Grover Cleveland,Bruce Lee,Arnold Alois Schwarzenegger,D,0.3829787234042553,1.0,0.0,0.0,0.5216666666666667,0.6803707851297609,0.8254725020613665,0.6404785287027944,1.0,0
